Emotions,Path
angry,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_16/03-02-05-01-02-02-16.wav
fear,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_16/03-02-06-01-02-01-16.wav
calm,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_16/03-02-02-01-02-02-16.wav
calm,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_16/03-02-02-02-01-02-16.wav
happy,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_16/03-02-03-01-01-01-16.wav
happy,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_16/03-02-03-02-02-01-16.wav
calm,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_16/03-02-02-01-01-01-16.wav
calm,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_16/03-02-02-02-02-01-16.wav
happy,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_16/03-02-03-01-02-02-16.wav
happy,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_16/03-02-03-02-01-02-16.wav
sad,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_16/03-02-04-02-01-02-16.wav
sad,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_16/03-02-04-01-02-02-16.wav
angry,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_16/03-02-05-02-02-01-16.wav
fear,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_16/03-02-06-02-02-02-16.wav
fear,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_16/03-02-06-01-01-02-16.wav
angry,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_16/03-02-05-01-01-01-16.wav
sad,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_11/03-02-04-02-02-02-11.wav
sad,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_11/03-02-04-01-01-02-11.wav
angry,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_11/03-02-05-02-01-01-11.wav
fear,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_11/03-02-06-02-01-02-11.wav
fear,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_11/03-02-06-01-02-02-11.wav
angry,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_11/03-02-05-01-02-01-11.wav
calm,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_11/03-02-02-01-02-01-11.wav
calm,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_11/03-02-02-02-01-01-11.wav
happy,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_11/03-02-03-01-01-02-11.wav
happy,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_11/03-02-03-02-02-02-11.wav
calm,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_11/03-02-02-01-01-02-11.wav
calm,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_11/03-02-02-02-02-02-11.wav
happy,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_11/03-02-03-01-02-01-11.wav
happy,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_11/03-02-03-02-01-01-11.wav
sad,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_11/03-02-04-02-01-01-11.wav
sad,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_11/03-02-04-01-02-01-11.wav
fear,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_11/03-02-06-02-02-01-11.wav
angry,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_11/03-02-05-02-02-02-11.wav
angry,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_11/03-02-05-01-01-02-11.wav
fear,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_11/03-02-06-01-01-01-11.wav
happy,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_11/03-02-03-02-02-01-11.wav
happy,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_11/03-02-03-01-01-01-11.wav
calm,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_11/03-02-02-02-01-02-11.wav
calm,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_11/03-02-02-01-02-02-11.wav
angry,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_11/03-02-05-01-02-02-11.wav
fear,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_11/03-02-06-01-02-01-11.wav
fear,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_11/03-02-06-02-01-01-11.wav
angry,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_11/03-02-05-02-01-02-11.wav
sad,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_11/03-02-04-01-01-01-11.wav
sad,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_11/03-02-04-02-02-01-11.wav
fear,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_11/03-02-06-01-01-02-11.wav
angry,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_11/03-02-05-01-01-01-11.wav
angry,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_11/03-02-05-02-02-01-11.wav
fear,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_11/03-02-06-02-02-02-11.wav
sad,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_11/03-02-04-01-02-02-11.wav
sad,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_11/03-02-04-02-01-02-11.wav
happy,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_11/03-02-03-02-01-02-11.wav
happy,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_11/03-02-03-01-02-02-11.wav
calm,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_11/03-02-02-02-02-01-11.wav
calm,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_11/03-02-02-01-01-01-11.wav
calm,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_20/03-02-02-01-01-01-20.wav
calm,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_20/03-02-02-02-02-01-20.wav
happy,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_20/03-02-03-01-02-02-20.wav
happy,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_20/03-02-03-02-01-02-20.wav
sad,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_20/03-02-04-02-01-02-20.wav
sad,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_20/03-02-04-01-02-02-20.wav
angry,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_20/03-02-05-02-02-01-20.wav
fear,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_20/03-02-06-02-02-02-20.wav
fear,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_20/03-02-06-01-01-02-20.wav
angry,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_20/03-02-05-01-01-01-20.wav
sad,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_20/03-02-04-02-02-01-20.wav
sad,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_20/03-02-04-01-01-01-20.wav
fear,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_20/03-02-06-02-01-01-20.wav
angry,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_20/03-02-05-02-01-02-20.wav
angry,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_20/03-02-05-01-02-02-20.wav
fear,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_20/03-02-06-01-02-01-20.wav
calm,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_20/03-02-02-01-02-02-20.wav
calm,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_20/03-02-02-02-01-02-20.wav
happy,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_20/03-02-03-01-01-01-20.wav
happy,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_20/03-02-03-02-02-01-20.wav
angry,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_20/03-02-05-01-01-02-20.wav
fear,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_20/03-02-06-01-01-01-20.wav
fear,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_20/03-02-06-02-02-01-20.wav
angry,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_20/03-02-05-02-02-02-20.wav
sad,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_20/03-02-04-01-02-01-20.wav
sad,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_20/03-02-04-02-01-01-20.wav
happy,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_20/03-02-03-02-01-01-20.wav
happy,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_20/03-02-03-01-02-01-20.wav
calm,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_20/03-02-02-02-02-02-20.wav
calm,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_20/03-02-02-01-01-02-20.wav
happy,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_20/03-02-03-02-02-02-20.wav
happy,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_20/03-02-03-01-01-02-20.wav
calm,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_20/03-02-02-02-01-01-20.wav
calm,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_20/03-02-02-01-02-01-20.wav
fear,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_20/03-02-06-01-02-02-20.wav
angry,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_20/03-02-05-01-02-01-20.wav
angry,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_20/03-02-05-02-01-01-20.wav
fear,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_20/03-02-06-02-01-02-20.wav
sad,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_20/03-02-04-01-01-02-20.wav
sad,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_20/03-02-04-02-02-02-20.wav
happy,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_21/03-02-03-02-01-02-21.wav
happy,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_21/03-02-03-01-02-02-21.wav
calm,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_21/03-02-02-02-02-01-21.wav
calm,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_21/03-02-02-01-01-01-21.wav
angry,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_21/03-02-05-01-01-01-21.wav
fear,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_21/03-02-06-01-01-02-21.wav
fear,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_21/03-02-06-02-02-02-21.wav
angry,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_21/03-02-05-02-02-01-21.wav
sad,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_21/03-02-04-01-02-02-21.wav
sad,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_21/03-02-04-02-01-02-21.wav
fear,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_21/03-02-06-01-02-01-21.wav
angry,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_21/03-02-05-01-02-02-21.wav
angry,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_21/03-02-05-02-01-02-21.wav
fear,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_21/03-02-06-02-01-01-21.wav
sad,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_21/03-02-04-01-01-01-21.wav
sad,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_21/03-02-04-02-02-01-21.wav
happy,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_21/03-02-03-02-02-01-21.wav
happy,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_21/03-02-03-01-01-01-21.wav
calm,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_21/03-02-02-02-01-02-21.wav
calm,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_21/03-02-02-01-02-02-21.wav
sad,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_21/03-02-04-02-01-01-21.wav
sad,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_21/03-02-04-01-02-01-21.wav
angry,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_21/03-02-05-02-02-02-21.wav
fear,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_21/03-02-06-02-02-01-21.wav
fear,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_21/03-02-06-01-01-01-21.wav
angry,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_21/03-02-05-01-01-02-21.wav
calm,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_21/03-02-02-01-01-02-21.wav
calm,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_21/03-02-02-02-02-02-21.wav
happy,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_21/03-02-03-01-02-01-21.wav
happy,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_21/03-02-03-02-01-01-21.wav
calm,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_21/03-02-02-01-02-01-21.wav
calm,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_21/03-02-02-02-01-01-21.wav
happy,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_21/03-02-03-01-01-02-21.wav
happy,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_21/03-02-03-02-02-02-21.wav
sad,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_21/03-02-04-02-02-02-21.wav
sad,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_21/03-02-04-01-01-02-21.wav
fear,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_21/03-02-06-02-01-02-21.wav
angry,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_21/03-02-05-02-01-01-21.wav
angry,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_21/03-02-05-01-02-01-21.wav
fear,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_21/03-02-06-01-02-02-21.wav
sad,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_19/03-02-04-02-01-02-19.wav
sad,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_19/03-02-04-01-02-02-19.wav
angry,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_19/03-02-05-02-02-01-19.wav
fear,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_19/03-02-06-02-02-02-19.wav
fear,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_19/03-02-06-01-01-02-19.wav
angry,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_19/03-02-05-01-01-01-19.wav
calm,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_19/03-02-02-01-01-01-19.wav
calm,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_19/03-02-02-02-02-01-19.wav
happy,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_19/03-02-03-01-02-02-19.wav
happy,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_19/03-02-03-02-01-02-19.wav
calm,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_19/03-02-02-01-02-02-19.wav
calm,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_19/03-02-02-02-01-02-19.wav
happy,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_19/03-02-03-01-01-01-19.wav
happy,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_19/03-02-03-02-02-01-19.wav
sad,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_19/03-02-04-02-02-01-19.wav
sad,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_19/03-02-04-01-01-01-19.wav
fear,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_19/03-02-06-02-01-01-19.wav
angry,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_19/03-02-05-02-01-02-19.wav
angry,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_19/03-02-05-01-02-02-19.wav
fear,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_19/03-02-06-01-02-01-19.wav
happy,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_19/03-02-03-02-01-01-19.wav
happy,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_19/03-02-03-01-02-01-19.wav
calm,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_19/03-02-02-02-02-02-19.wav
calm,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_19/03-02-02-01-01-02-19.wav
angry,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_19/03-02-05-01-01-02-19.wav
fear,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_19/03-02-06-01-01-01-19.wav
fear,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_19/03-02-06-02-02-01-19.wav
angry,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_19/03-02-05-02-02-02-19.wav
sad,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_19/03-02-04-01-02-01-19.wav
sad,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_19/03-02-04-02-01-01-19.wav
fear,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_19/03-02-06-01-02-02-19.wav
angry,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_19/03-02-05-01-02-01-19.wav
angry,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_19/03-02-05-02-01-01-19.wav
fear,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_19/03-02-06-02-01-02-19.wav
sad,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_19/03-02-04-01-01-02-19.wav
sad,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_19/03-02-04-02-02-02-19.wav
